我爱你,2024-09-01 16:16:12,表达伤心
我长胖的原因是因为我没长高没长高是因为我心情不好心情不好的原因是因为生活费不够外加学习太难[懒得理你]所以看到我的人不要在问我为什么又长胖了[疑问]我实在是无奈啊[泪],2024-09-17 15:59:08,表达伤心
对不起，天津女排赢了9场没给其他球队帮助；对不起，女排姐姐们这么练习这么多伤病；对不起，我们不职业连外援都请不来；对不起，球迷这么多年坐无缺席，居然给自己的队伍呐喊助威；对不起，女排怎么能赢这么职业化的球队呢，我们明明是您不理的盐碱地人啊！对不起，我不该发微博我错了[可怜],2024-09-17 16:01:05,表达伤心
这个时候一个人守着炉头上煲的粥，翻遍了所有的媒体软件好无聊啊，无比怀念在中国看电视的时光，还有电影院，上周末说去看电影都到门口了我还是没进去，宁愿选择在旁边的商场闲逛等北极熊，这边的节目真的不如中国精彩。,2024-09-17 16:01:13,表达恶心
窈窕淑女，君子好逑,2024-09-17 16:01:47,
我找不到我到不了　你所谓的将来的美好　我什么都不要知不知道若你懂我这一秒,2024-09-17 16:01:57,表达伤心
"0今天，单位同事，跟俺说，她爸觉得自己很幸福。我说是。你家老爷子，在普通人中，身体算好的了有大房。头几年，单位给分了160平的大房子。老头68岁学了本,70买了车。今年又海南买了一度假房。2人退休费也要上万。身体也健康。都能从海南坐硬卧火车回北京。要是只有身体好，木有钱，也不这么幸福",2024-09-17 16:03:33,表达开心
今天Sheila被选去比3000m赛跑哈哈得了第二名,2024-09-17 16:03:50,
 她是我真正的朋友，在我需要帮助时她永远都不会拒绝我。,2024-09-17 16:04:11,表达开心
楼下水果店买一个西瓜送一张卡片，10张可以兑换一个西瓜。终于集齐拿着10张卡片大摇大摆的去水果店大喝一声：老板，西瓜来个最大的！老板乐的，你不知道那个脸笑的多开，屁颠屁颠抱了个大西瓜，俺把卡片往桌子上一拍，扛着西瓜离开，只剩水果店老板幽怨的眼神……,2024-09-17 16:04:25,表达生气
厨子痞子戏子原来是个抗日谍战片哟。,2024-09-17 16:05:00,表达生气
我拍拖了！,2024-09-17 16:05:19,
 [呵呵][嘻嘻][哈哈][爱你][晕][泪][馋嘴][抓狂][哼][可爱][汗][害羞][睡觉][钱][偷笑][酷][吃惊][生病][思考][悲伤][鼓掌][花心][挖鼻屎][鄙视][亲亲][怒骂][太开心][懒得理你][右哼哼][左哼哼][嘘][委屈][吐][可怜][打哈气][做鬼脸][失望][黑线][拜拜][感冒][困][书呆子][疑问][阴险],2024-09-17 16:05:41,表达生气
2 昨晚去饭堂打饭，看见我的舍友打好饭从前面向我这边走了过来。我懒得喊就伸出手去摸碰了一下她的胳膊，没想到她没注意，头也不回的往后走[晕]……我往后面队伍一看，怎么后面那么多女的都用很奇怪的眼神看着我！我好想哄一声：什么！认识的！不是同性恋故意嗨别人油的！！[怒骂][右哼哼][左哼哼],2024-09-17 16:06:14,表达恶心
